Date,000001.SS,HSI,^AORD,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^IXIC,^JKSE,^KS11,^MERV,^N225,^NSEI,^STI,^TWII
2024-11-13,3439.278076171875,,8450.900390625,77690.953125,127734.0,43958.19140625,7216.830078125,8030.2998046875,19003.109375,5985.3798828125,19230.720703125,7308.6708984375,2417.080078125,2042551.0,38721.66015625,23559.05078125,3720.340087890625,22860.23046875
2024-11-14,3379.839111328125,,8479.900390625,77580.3125,127792.0,43750.859375,7311.7998046875,8071.2001953125,19263.69921875,5949.169921875,19107.650390625,7214.56103515625,2418.860107421875,2087647.0,38535.69921875,23532.69921875,3738.159912109375,22715.380859375
2024-11-15,3330.72607421875,,8539.0,,,43444.98828125,7269.6298828125,8063.60009765625,19210.810546875,5870.6201171875,18680.119140625,7161.2578125,2416.860107421875,2066915.0,38642.91015625,,3744.699951171875,22742.76953125
2024-11-18,3323.84912109375,,8554.400390625,77339.0078125,127768.0,43389.6015625,7278.22998046875,8109.2998046875,19189.189453125,5893.6201171875,18791.810546875,7134.27685546875,2469.070068359375,,38220.8515625,23453.80078125,3732.550048828125,22546.5390625
2024-11-19,3346.010009765625,,8629.2001953125,77578.3828125,128197.0,43268.94140625,7229.64013671875,8099.0,19060.310546875,5916.97998046875,18987.470703125,7195.71484375,2471.949951171875,2124413.0,38414.4296875,23518.5,3757.969970703125,22848.80078125
2024-11-20,3367.989013671875,,8579.099609375,,,43408.46875,7198.4501953125,8085.10009765625,19004.779296875,5917.10986328125,18966.140625,7180.3349609375,2482.2900390625,2145972.0,38352.33984375,,3743.639892578125,22688.359375
2024-11-21,3370.404052734375,,8567.0,77155.7890625,126922.0,43870.3515625,7213.31982421875,8149.2998046875,19146.169921875,5948.7099609375,18972.419921875,7140.912109375,2480.6298828125,2140096.0,38026.171875,23349.900390625,3739.219970703125,22555.66015625
2024-11-22,3267.19189453125,,8633.099609375,79117.109375,129126.0,44296.51171875,7255.009765625,8262.099609375,19322.58984375,5969.33984375,19003.650390625,7195.56494140625,2501.239990234375,2211988.0,38283.8515625,23907.25,3746.02001953125,22904.3203125
2024-11-25,3263.760009765625,,8661.2001953125,80109.8515625,129036.0,44736.5703125,7257.47021484375,8291.7001953125,19405.19921875,5987.3701171875,19054.83984375,7314.10791015625,2534.340087890625,2218551.0,38780.140625,24221.900390625,3731.389892578125,22948.369140625
2024-11-26,3259.757080078125,,8612.599609375,80004.0625,129922.0,44860.30859375,7194.509765625,8258.599609375,19295.98046875,6021.6298828125,19174.30078125,7245.88818359375,2520.360107421875,2252266.0,38442.0,24194.5,3712.389892578125,22678.759765625
2024-11-27,3309.779052734375,,8659.599609375,80234.078125,127669.0,44722.05859375,7143.02978515625,8274.7998046875,19261.75,5998.740234375,19060.48046875,,2503.06005859375,2205245.0,38134.96875,24274.900390625,3708.090087890625,22334.779296875
2024-11-28,3295.697998046875,,8700.0,79043.7421875,124610.0,,7179.25,8281.2001953125,19425.73046875,,,7200.1572265625,2504.669921875,2230803.0,38349.05859375,23914.150390625,3737.25,22298.900390625
2024-11-29,3326.4560546875,,8699.099609375,79802.7890625,125668.0,44910.6484375,7235.10986328125,8287.2998046875,19626.44921875,6032.3798828125,19218.169921875,7114.26611328125,2455.909912109375,2258295.0,38208.03125,24131.099609375,3739.2900390625,22262.5
2024-12-02,3363.98193359375,,8705.0,80248.078125,125236.0,44782.0,7236.89013671875,8312.900390625,19933.619140625,6047.14990234375,19403.94921875,7046.98583984375,2454.47998046875,2295432.0,38513.01953125,24276.05078125,3751.35009765625,22736.9296875
2024-12-03,3378.805908203125,,8754.7001953125,80845.75,126139.0,44705.53125,7255.419921875,8359.400390625,20016.75,6049.8798828125,19480.91015625,7196.01708984375,2500.10009765625,2303990.0,39248.859375,24457.150390625,3786.1298828125,23027.4609375
2024-12-04,3364.64990234375,,8728.5,80956.328125,126087.0,45014.0390625,7303.27978515625,8335.7998046875,20232.140625,6086.490234375,19735.119140625,7326.76416015625,2464.0,2216278.0,39276.390625,24467.44921875,3799.93994140625,23255.330078125
2024-12-05,3368.85498046875,,8744.5,81765.859375,127858.0,44765.7109375,7330.5400390625,8349.400390625,20358.80078125,6075.10986328125,19700.259765625,7313.31298828125,2441.85009765625,2211583.0,39395.6015625,24708.400390625,3822.679931640625,23267.939453125
2024-12-06,3404.075927734375,,8689.2998046875,81709.1171875,125946.0,44642.51953125,7426.8798828125,8308.599609375,20384.609375,6090.27001953125,19859.76953125,7382.78515625,2428.159912109375,2202444.0,39091.171875,24677.80078125,3796.159912109375,23193.26953125
2024-12-09,3402.533935546875,,8687.0,81508.4609375,127210.0,44401.9296875,7480.14013671875,8352.099609375,20345.9609375,6052.85009765625,19736.689453125,7437.73095703125,2360.580078125,2228859.0,39160.5,24619.0,3794.919921875,23273.25
